BSE_CODE,ISIN,NAME
800812,IN001174P011,709G251174
800177,IN0020130053,920GOI2030
800287,IN0020180033,SOVEREIGN GOLD BOND 2019 SERIE
800297,IN0020190107,SOVEREIGN GOLD BOND 2019-20 SE
800316,IN0020200039,719GOI2060
800320,IN0020200088,Sovereign Gold Bonds 2020-21 S
800322,IN0020200104,Sovereign Gold Bonds 2020-21 S
800324,IN0020200146,Sovereign Gold Bond 2020-21 IV
800325,IN0020200161,Sovereign Gold Bonds 2020-21 V
800327,IN0020200195,Sovereign Gold Bonds 2020-21 S
800328,IN0020200203,Sovereign Gold Bonds 2020-21 S
800329,IN0020200286,Sovereign Gold Bonds 2020-21 S
800333,IN0020200393,SGB 2020-21 SERIES XI
800334,IN0020200401,676GOI2061
800339,IN0020200427,SGB 2020-21 Series XII
800340,IN0020210053,SGB 2021-22 Series I
800341,IN0020210061,SGB 2021-22 Series II
800342,IN0020210087,Sovereign Gold Bonds 2021-22
800385,IN0020210129,Sovereign Gold Bonds 2021-22 S
800386,IN0020210145,Sovereign Gold Bonds 2021-22 S
800434,IN0020210178,Sovereign Gold Bonds 2021-22 S
800435,IN0020210194,699GOI2051
800436,IN0020210202,695GOI2061
800437,IN0020210228,Sovereign Gold Bonds 2021-22 S
800438,IN0020210236,Soveriegn Gold Bonds 2021-22 S
800439,IN0020210319,Sovereign Gold Bonds 2021-22 S
800441,IN0020220029,754GOI2036
800442,IN0020220037,738GOI2027
800443,IN0020220045,Sovereign Gold Bonds 2022-23 S
800520,IN0020220060,726GOI2032
800488,IN0020220078,Sovereign Gold Bonds 2022-23 S
800573,IN0020220110,Soverign Gold Bond 2022-23 Sr
800575,IN0020220169,Sovereign Gold Bond 2022-23 Sr
800588,IN0020230044,725GOI2063
800584,IN0020230051,73GOI2053
800580,IN0020230069,Sovereign Gold Bonds 2023-24 S
800598,IN0020230077,718GS2037
800599,IN0020230085,718GS2033
800596,IN0020230093,Sovereign Gold Bonds 2023-24 S
800597,IN0020230127,746GOI2073
800603,IN0020230168,Sovereign Gold Bonds 2023-24 S
800605,IN0020230184,Sovereign Gold Bonds 2023-24 S
800607,IN0020240035,734GOI2064
800807,IN0020240142,709GOI74
800809,IN0020250075,724GOI55
805161,IN002025Y396,182TB26626
805162,IN002025Z393,364T251226
811063,IN3120250094,694TNSDL55
890232,IN90GGO01013,KRISHIVAL FOODS LIMITED
890228,IN90NN701011,Allcargo Terminals Limited
890231,IN9161F01019,ANIRIT VENTURES LIMITED
890226,IN9170U01035,Suraj Industries Limited.
570004,IN9175A01010,JAIN IRRIGATION SYSTEMS LTD.
890217,IN9273A01047,Aplab Ltd.
890233,IN9428B01029,PVV Infra Limited
890197,IN9564C01011,Yarn Syndicate Ltd.
890221,IN9572J01019,Spandana Sphoorty Financial Li
570002,IN9623B01058,Future Enterprises Limited
890230,IN9849B01026,Ace Software Exports ltd.
530813,INE001B01026,KRBL LTD.
530331,INE001E01012,PREMCO GLOBAL LTD.
513303,INE001F01019,MODERN STEELS LTD.
530251,INE001O01029,RISA INTERNATIONAL LTD.
500325,INE002A01018,RELIANCE INDUSTRIES LTD.
532344,INE002B01016,MADALA HOLDINGS LIMITED
533206,INE002L01015,SJVN LTD
539957,INE002S01010,Mahanagar Gas Limited
500550,INE003A01024,SIEMENS LTD.
