ISIN,NSE_SYMBOL,NAME,TIER,SIGNAL_SCORE,ALERT_TYPE,ALERT_DETAIL,ALERT_DATE,SEVERITY,GENERATED_AT
INE343H01029,SOLARINDS,SOLAR INDUSTRIES,STRONG,20,INSIDER_BUY,"Sohan Devi Nand Lal Nuwal Family Trust (Promoters) bought 26,451,193 shares ≈ ₹5.3Cr",2026-06-10,VERY_HIGH,2026-06-10 10:49:45
INE0Q5D01013,ACCENTMIC,ACCENT MICROCELL,STRONG,18,BULK_BUY,"HIMANSHU B. AMIN (HUF) bought 125,000 shares @ ₹479.7 (≈₹6.0Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE364U01010,ADANIGREEN,ADANI GREEN,WATCHLIST_EXTERNAL,14,BULK_BUY,"ADANI INFRA (INDIA) LIMITED bought 21,500,000 shares @ ₹1510.0 (≈₹3246.5Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE976R01033,AGIIL,AGI INFRA,WATCHLIST_CONFIRMED,15,BULK_BUY,"ARIHANT CAPITAL MARKETS LIMITED bought 784,934 shares @ ₹370.6 (≈₹29.1Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE031B01049,AJANTPHARM,AJANTA PHARMA,STRONG,16,BULK_BUY,"KOTAK MAHINDRA MUTUAL FUND bought 2,102,291 shares @ ₹2968.0 (≈₹624.0Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE570D01018,ARROWGREEN,ARROW GREENTECH,WATCHLIST_CONFIRMED,12,BULK_BUY,"NK SECURITIES RESEARCH PRIVATE LIMITED bought 91,986 shares @ ₹601.0 (≈₹5.5Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE0ALR01029,ATALREAL,ATAL REALTECH,WATCHLIST_CONFIRMED,13,BULK_BUY,"ACME CAPITAL MARKET LIMITED bought 950,000 shares @ ₹28.6 (≈₹2.7Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE073V01015,COMSYN,COMMERL. SYNBAGS,WATCHLIST_EXTERNAL,12,BULK_BUY,"ARIHANT CAPITAL MARKETS LIMITED bought 492,218 shares @ ₹153.7 (≈₹7.6Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE168P01015,EMCURE,EMCURE PHARMA,STRONG,18,BULK_BUY,"KOTAK MAHINDRA MUTUAL FUND bought 3,600,000 shares @ ₹1700.0 (≈₹612.0Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE0BJS01011,GOCOLORS,GO FASHION (I),WATCHLIST_CONFIRMED,13,BULK_BUY,"HRTI PRIVATE LIMITED bought 329,488 shares @ ₹402.5 (≈₹13.3Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE192H01020,GRMOVER,GRM OVERSEAS,WATCHLIST_CONFIRMED,13,BULK_BUY,"ACME CAPITAL MARKET LIMITED bought 1,746,106 shares @ ₹123.1 (≈₹21.5Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE0OAF01028,JNKINDIA,JNK,WATCHLIST_EXTERNAL,13,BULK_BUY,"HRTI PRIVATE LIMITED bought 388,505 shares @ ₹463.7 (≈₹18.0Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE364U01010,ADANIGREEN,ADANI GREEN,WATCHLIST_EXTERNAL,14,BLOCK_BUY,"ADANI INFRA (INDIA) LIMITED block buy 21,500,000 shares @ ₹1510.0 (≈₹3246.5Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE031B01049,AJANTPHARM,AJANTA PHARMA,STRONG,16,BLOCK_BUY,"ADITYA BIRLA SUN LIFE MUTUAL FUND block buy 1,347,709 shares @ ₹2968.0 (≈₹400.0Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE168P01015,EMCURE,EMCURE PHARMA,STRONG,18,BLOCK_BUY,"KOTAK MAHINDRA MUTUAL FUND block buy 3,600,000 shares @ ₹1700.0 (≈₹612.0Cr)",2026-06-08,HIGH,2026-06-10 10:49:45
INE976R01033,AGIIL,AGI INFRA,WATCHLIST_CONFIRMED,15,BULK_BUY,"ARIHANT CAPITAL MARKETS LIMITED bought 1,063,568 shares @ ₹379.4 (≈₹40.3Cr)",2026-06-07,HIGH,2026-06-10 10:49:45
INE0ALR01029,ATALREAL,ATAL REALTECH,WATCHLIST_CONFIRMED,13,BULK_BUY,"ALTIZEN VENTURES LLP bought 1,190,000 shares @ ₹30.3 (≈₹3.6Cr)",2026-06-07,HIGH,2026-06-10 10:49:45
INE0OV601013,EMSLIMITED,EMS,WATCHLIST_CONFIRMED,12,BULK_BUY,"MICROCURVES TRADING PRIVATE LIMITED bought 387,295 shares @ ₹330.2 (≈₹12.8Cr)",2026-06-07,HIGH,2026-06-10 10:49:45
INE0BJS01011,GOCOLORS,GO FASHION (I),WATCHLIST_CONFIRMED,13,BULK_BUY,"ACHINTYA SECURITIES LIMITED bought 562,265 shares @ ₹422.1 (≈₹23.7Cr)",2026-06-07,HIGH,2026-06-10 10:49:45
INE677D01037,MASTERTR,MASTER TRUST,WATCHLIST_CONFIRMED,10,BULK_BUY,"NK SECURITIES RESEARCH PRIVATE LIMITED bought 828,971 shares @ ₹93.7 (≈₹7.8Cr)",2026-06-07,HIGH,2026-06-10 10:49:45
INE338I01027,MOTILALOFS,MOTIL.OSWAL.FIN.,WATCHLIST_CONFIRMED,10,BLOCK_BUY,"HDFC LIFE INSURANCE COMPANY LIMITED block buy 1,820,000 shares @ ₹842.5 (≈₹153.3Cr)",2026-06-07,HIGH,2026-06-10 10:49:45
INE204E01012,AGARIND,AGARWAL INDL.,WATCHLIST_CONFIRMED,9,BULK_BUY,"ALPHAGREP SECURITIES PRIVATE LIMITED bought 124,207 shares @ ₹523.2 (≈₹6.5Cr)",2026-06-04,HIGH,2026-06-10 10:49:45
INE0ALR01029,ATALREAL,ATAL REALTECH,WATCHLIST_CONFIRMED,13,BULK_BUY,"ALTIZEN VENTURES LLP bought 1,911,326 shares @ ₹30.4 (≈₹5.8Cr)",2026-06-04,HIGH,2026-06-10 10:49:45
INE0BJS01011,GOCOLORS,GO FASHION (I),WATCHLIST_CONFIRMED,13,BULK_BUY,"HRTI PRIVATE LIMITED bought 352,048 shares @ ₹415.3 (≈₹14.6Cr)",2026-06-04,HIGH,2026-06-10 10:49:45
INE353K01014,ITDC,I T D C,WATCHLIST_CONFIRMED,15,BULK_BUY,"JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED bought 469,486 shares @ ₹671.7 (≈₹31.5Cr)",2026-06-04,HIGH,2026-06-10 10:49:45
