NSE_SYMBOL,COMPANY,EVENT_DATE,SOURCE,EVENT_TYPE,EVENT_CLASS,IMPACT_TIER,IMPACT_SCORE,SIGNAL_TYPE,QUALITY_CHECK,TIER,COMPOSITE,LIQUIDITY_FLAG,PRICE_CHANGE_3D_PCT,PRICE_STATUS,SUPPRESSED,SUPPRESSED_REASON,ALERT_TEXT,AS_OF_DATE
nan,nan,2026-05-11,BSE_LIVE_POLLER,CORPORATE_ACTION,BONUS_SPLIT,,6,BONUS_SPLIT_SIGNAL,NEUTRAL,UNKNOWN,0.0,UNKNOWN,0.0,NO_DATA,False,,⚡ BONUS_SPLIT | nan (nan) | Signal: BONUS_SPLIT_SIGNAL | Tier: UNKNOWN | 📌 EVENT TRADE ≠ multibagger position,2026-05-17 09:11
nan,Dev Labtech Venture Ltd,2026-05-12,BSE_PIPELINE,CORPORATE_ACTION,BONUS_SPLIT,,6,BONUS_SPLIT_SIGNAL,NEUTRAL,UNKNOWN,0.0,UNKNOWN,0.0,NO_DATA,False,,⚡ BONUS_SPLIT | nan (Dev Labtech Venture Ltd) | Signal: BONUS_SPLIT_SIGNAL | Tier: UNKNOWN | 📌 EVENT TRADE ≠ multibagger position,2026-05-17 09:11
nan,Dev Labtech Venture Limited,2026-05-05,BSE_LIVE_POLLER,CORPORATE_ACTION,BONUS_SPLIT,,6,BONUS_SPLIT_SIGNAL,NEUTRAL,UNKNOWN,0.0,UNKNOWN,0.0,NO_DATA,False,,⚡ BONUS_SPLIT | nan (Dev Labtech Venture Limited) | Signal: BONUS_SPLIT_SIGNAL | Tier: UNKNOWN | 📌 EVENT TRADE ≠ multibagger position,2026-05-17 09:11
nan,Dev Labtech Venture Limited,2026-05-12,BSE_LIVE_POLLER,CORPORATE_ACTION,BONUS_SPLIT,,6,BONUS_SPLIT_SIGNAL,NEUTRAL,UNKNOWN,0.0,UNKNOWN,0.0,NO_DATA,False,,⚡ BONUS_SPLIT | nan (Dev Labtech Venture Limited) | Signal: BONUS_SPLIT_SIGNAL | Tier: UNKNOWN | 📌 EVENT TRADE ≠ multibagger position,2026-05-17 09:11
nan,ANLON HEALTHCARE LIMITED,2026-04-27,BSE_LIVE_POLLER,CORPORATE_ACTION,BONUS_SPLIT,,6,BONUS_SPLIT_SIGNAL,NEUTRAL,UNKNOWN,0.0,UNKNOWN,0.0,NO_DATA,False,,⚡ BONUS_SPLIT | nan (ANLON HEALTHCARE LIMITED) | Signal: BONUS_SPLIT_SIGNAL | Tier: UNKNOWN | 📌 EVENT TRADE ≠ multibagger position,2026-05-17 09:11
nan,PAE Ltd,2026-04-25,BSE_PIPELINE,CORPORATE_ACTION,BONUS_SPLIT,,6,BONUS_SPLIT_SIGNAL,NEUTRAL,UNKNOWN,0.0,UNKNOWN,0.0,NO_DATA,False,,⚡ BONUS_SPLIT | nan (PAE Ltd) | Signal: BONUS_SPLIT_SIGNAL | Tier: UNKNOWN | 📌 EVENT TRADE ≠ multibagger position,2026-05-17 09:11
nan,Jupiter Life Line Hospitals Ltd,2026-05-17,BSE_PIPELINE,CORPORATE_ACTION,BONUS_SPLIT,,6,BONUS_SPLIT_SIGNAL,NEUTRAL,UNKNOWN,0.0,UNKNOWN,0.0,NO_DATA,False,,⚡ BONUS_SPLIT | nan (Jupiter Life Line Hospitals Ltd) | Signal: BONUS_SPLIT_SIGNAL | Tier: UNKNOWN | 📌 EVENT TRADE ≠ multibagger position,2026-05-17 09:11
nan,Sayaji Industries Ltd,2026-05-06,BSE_PIPELINE,RESULTS,RESULT,,5,RESULT_EVENT,NEUTRAL,UNKNOWN,0.0,UNKNOWN,0.0,NO_DATA,False,,⚡ RESULT | nan (Sayaji Industries Ltd) | Signal: RESULT_EVENT | Tier: UNKNOWN | 📌 EVENT TRADE ≠ multibagger position,2026-05-17 09:11
nan,Aadhar Housing Finance Ltd,2026-05-06,BSE_PIPELINE,RESULTS,RESULT,,5,RESULT_EVENT,NEUTRAL,UNKNOWN,0.0,UNKNOWN,0.0,NO_DATA,False,,⚡ RESULT | nan (Aadhar Housing Finance Ltd) | Signal: RESULT_EVENT | Tier: UNKNOWN | 📌 EVENT TRADE ≠ multibagger position,2026-05-17 09:11
nan,Raymond Realty Ltd,2026-05-06,BSE_PIPELINE,RESULTS,RESULT,,5,RESULT_EVENT,NEUTRAL,UNKNOWN,0.0,UNKNOWN,0.0,NO_DATA,False,,⚡ RESULT | nan (Raymond Realty Ltd) | Signal: RESULT_EVENT | Tier: UNKNOWN | 📌 EVENT TRADE ≠ multibagger position,2026-05-17 09:11
nan,SecUR Credentials Ltd,2026-05-06,BSE_PIPELINE,RESULTS,RESULT,,5,RESULT_EVENT,NEUTRAL,UNKNOWN,0.0,UNKNOWN,0.0,NO_DATA,False,,⚡ RESULT | nan (SecUR Credentials Ltd) | Signal: RESULT_EVENT | Tier: UNKNOWN | 📌 EVENT TRADE ≠ multibagger position,2026-05-17 09:11
