ISIN,NSE_SYMBOL,BSE_CODE,NAME,INDUSTRY GROUP,INDUSTRY
INE438A01022,APOLLOTYRE,500877.0,Apollo Tyres,Auto Components,Tyres & Rubber Products
INE0J5801029,JSLL,nan,Jeena Sikho,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE016Q01014,CEINSYS,nan,Ceinsys Tech,IT - Software,Computers - Software & Consulting
INE669C01036,TECHM,nan,Tech Mahindra,IT - Software,Computers - Software & Consulting
INE854B01010,JAYNECOIND,nan,Jayaswal Neco,Industrial Products,Iron & Steel Products
INE295D01020,NACLIND,nan,NACL Industries,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
INE925R01014,CMSINFO,nan,CMS Info Systems,Commercial Services & Supplies,Diversified Commercial Services
INE474E01029,BHANDARI,nan,Bhandari Hosiery,Textiles & Apparels,Other Textile Products
INE212I01016,SPAL,nan,S P Apparels,Textiles & Apparels,Garments & Apparels
INE463A01038,BERGEPAINT,nan,Berger Paints,Consumer Durables,Paints
INE749B01020,ORTINGLOBE,nan,Ortin Global,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE07K301024,ZAGGLE,nan,Zaggle Prepaid,IT - Services,IT Enabled Services
INE093I01010,OBEROIRLTY,nan,Oberoi Realty,Realty,"Residential, Commercial Projects"
INE0GK401011,TATVA,nan,Tatva Chintan,Chemicals & Petrochemicals,Specialty Chemicals
INE505C01016,PRAENG,nan,Prajay Engineers,Realty,"Residential, Commercial Projects"
INE147P01019,JPOLYINVST,nan,Jindal Poly Inve,Finance,Investment Company
INE143A01010,OSWALGREEN,nan,Oswal Green Tech,Finance,Investment Company
INE325D01025,SINDHUTRAD,nan,Sindhu Trade,Transport Services,Logistics Solution Provider
INE763I01026,TARIL,nan,T R I L,Electrical Equipment,Heavy Electrical Equipment
INE642C01025,RUBFILA,nan,Rubfila Intl.,Industrial Products,Rubber
INE816B01035,FILATEX,nan,Filatex India,Textiles & Apparels,Other Textile Products
INE985W01018,CNL,nan,Creative Newtech,Commercial Services & Supplies,Trading & Distributors
INE844K01012,BEDMUTHA,nan,Bedmutha Indus.,Industrial Products,Iron & Steel Products
INE712B01010,SUPERHOUSE,nan,Superhouse Ltd,Consumer Durables,Leather And Leather Products
INE791A01024,BLBLIMITED,nan,BLB,Finance,Investment Company
INE676A01027,BBOX,nan,Black Box,IT - Services,IT Enabled Services
