NSE_SYMBOL,COMPANY,TIER,COMPOSITE,Q_SCORE,REGIME,MACRO_STRESS,RECOMMENDED_SIZE_PCT,LIQUIDITY_FLAG,SECTOR_PHASE,SECTOR_OVERRIDE,ENTRY_TIMING_SCORE,ENTRY_TIMING_SCORE_RAW,SIGNAL_FRESHNESS,ABOVE_50DMA,DISTANCE_FROM_200DMA_PCT,ATR_14,STOP_LOSS_PCT,EXIT_SIGNAL,EXIT_REASON,LTCG_FLAG,LTCG_NOTE,BEAR_ALPHA_TRACK,BEAR_ALPHA_SCORE,CONVICTION_SCORE,PRIME_CONVICTION,DMA200_PRICE,ENTRY_ZONE_LOW,ENTRY_ZONE_HIGH,ENTRY_ZONE_NOTE,MAX_SLOTS,AS_OF_DATE,ROE,LOW_ROE_FLAG,EXTREME_VAL_FLAG,STRUCTURAL_MOAT,DRAWDOWN_RISK,WARNINGS,COMMODITY_CYCLE_FLAG,S_LOW_DEBT,BLACKSTONE_ELIGIBLE,BUY_NOW,BUY_NOW_SAFE,BUY_NOW_BALANCED,BUY_NOW_COMMODITY,PORTFOLIO_HEAT_PCT,PRIME_COUNT,AVG_PRIME_COMPOSITE
AIIL,AUTHUM INVEST,WATCHLIST_CONFIRMED,90.0,20.0,CAUTION,4.0,3.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,-0.64,22.8929,5.12,HOLD,,False,,A,12.62,3,False,540.39,520.84,551.2,Below 200DMA — enter on recovery above 200DMA,7,2026-06-12,28.87,False,False,False,True,DRAWDOWN_RISK(vel=-18.0),0,False,False,False,False,False,False,28.9,4,80.8
LUMAXTECH,LUMAX AUTO TECH.,PRIME,88.0,20.0,CAUTION,4.0,7.88,NORMAL,CORRECTION,False,1,1,EXPIRED,False,10.47,69.1429,5.11,HOLD,,False,,A,15.49,3,False,1470.85,1426.72,1544.39,Near 200DMA — ideal dip entry zone,7,2026-06-12,19.02,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
ALGOQUANT,ALGOQUANT FIN,WATCHLIST_CONFIRMED,88.0,20.0,CAUTION,4.0,3.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,-2.19,2.53,5.35,HOLD,,False,,A,12.0,3,False,57.99,55.02,59.15,Below 200DMA — enter on recovery above 200DMA,7,2026-06-12,31.59,False,False,False,True,DRAWDOWN_RISK(vel=-23.0),0,False,False,False,False,False,False,28.9,4,80.8
RELIABLE,RELIABLE DATA,WATCHLIST_CONFIRMED,87.0,11.0,CAUTION,4.0,3.0,RESTRICTED,TOPPING,False,1,2,EXPIRED,True,4.94,6.8507,5.72,EXIT,DETERIORATING (vel=-20.0 forensic=-5 regime=CAUTION),False,,A,5.83,3,False,137.05,132.94,143.9,Near 200DMA — ideal dip entry zone,7,2026-06-12,15.79,False,False,False,True,DRAWDOWN_RISK(vel=-20.0),0,False,False,False,False,False,False,28.9,4,80.8
GESHIP,GE SHIPPING CO,STRONG,86.0,17.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,1,AGING,False,13.52,66.5214,5.77,HOLD,,False,,A,29.96,3,False,1218.45,1181.9,1279.37,Near 200DMA — ideal dip entry zone,7,2026-06-12,16.44,False,False,False,True,DRAWDOWN_RISK(vel=-13.0),0,True,True,False,False,False,False,28.9,4,80.8
MAHABANK,BANK OF MAHA,STRONG,85.0,5.0,CAUTION,4.0,5.0,NORMAL,LATE_CYCLE,False,3,3,FRESH,True,35.02,2.1871,3.06,PARTIAL_EXIT,EXTENDED: 13.8× ATR above 200DMA,False,,A,27.42,5,False,63.61,81.51,84.79,Extended — wait for ATR pullback,7,2026-06-12,21.17,False,False,False,True,DRAWDOWN_RISK(vel=-15.0),0,False,False,False,False,False,False,28.9,4,80.8
KRISHANA,KRISHANA PHOSCH.,STRONG,84.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,21.68,22.1143,3.97,PARTIAL_EXIT,EXTENDED: 6.6× ATR above 200DMA,False,,A,13.05,4,False,549.62,624.57,657.74,Extended — wait for ATR pullback,7,2026-06-12,22.55,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
BSE,BSE,PRIME,82.0,20.0,CAUTION,4.0,7.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,37.3,148.0214,4.46,PARTIAL_EXIT,EXTENDED: 10.0× ATR above 200DMA,False,,A,14.14,5,True,2903.79,3690.86,3912.89,Extended — wait for ATR pullback,7,2026-06-12,29.97,False,False,True,False,,0,True,True,False,False,False,False,28.9,4,80.8
SKYGOLD,SKY GOLD & DIAM.,WATCHLIST_CONFIRMED,82.0,19.0,CAUTION,4.0,3.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,40.6,31.1179,7.37,PARTIAL_EXIT,PROFIT_ZONE: +41% above 200DMA | EXTENDED: 6.6× ATR above 200DMA,False,,A,11.5,4,False,360.32,444.36,491.04,Extended — wait for ATR pullback,7,2026-06-12,19.4,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
ADANIPOWER,ADANI POWER,STRONG,82.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,FRESH,True,35.35,8.0207,4.38,PARTIAL_EXIT,EXTENDED: 9.7× ATR above 200DMA,False,,A,12.0,4,False,162.24,203.56,215.59,Extended — wait for ATR pullback,7,2026-06-12,22.96,False,False,False,True,DRAWDOWN_RISK(vel=-8.0),0,False,False,False,False,False,False,28.9,4,80.8
KISSHT,NAN,MONITOR,82.0,1.0,CAUTION,4.0,0.5,NORMAL,nan,False,1,2,EXPIRED,True,8.76,16.95,7.62,HOLD,,False,,,0.0,3,False,245.59,238.22,257.87,Near 200DMA — ideal dip entry zone,7,2026-06-12,,False,False,False,True,DRAWDOWN_RISK(vel=-55.0),0,False,False,False,False,False,False,28.9,4,80.8
MAYURUNIQ,MAYUR UNIQUOTERS,STRONG,81.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,FRESH,True,46.03,39.175,5.88,PARTIAL_EXIT,PROFIT_ZONE: +46% above 200DMA | EXTENDED: 9.4× ATR above 200DMA,False,,A,21.82,4,False,547.16,720.7,779.46,Extended — wait for ATR pullback,7,2026-06-12,15.62,False,False,False,False,,0,True,True,False,False,False,False,28.9,4,80.8
PGIL,PEARL GLOBAL IND,STRONG,81.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,8.45,59.4286,4.39,HOLD,,False,,A,20.24,4,False,1499.43,1454.45,1574.4,Near 200DMA — ideal dip entry zone,7,2026-06-12,21.49,False,False,False,True,DRAWDOWN_RISK(vel=-9.0),0,False,False,False,False,False,False,28.9,4,80.8
MEDIASSIST,MEDI ASSIST SER.,WATCHLIST_CONFIRMED,81.0,20.0,CAUTION,4.0,3.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,-16.56,10.5357,3.49,HOLD,,False,,A,12.0,3,False,434.43,351.62,443.12,Below 200DMA — enter on recovery above 200DMA,7,2026-06-12,16.78,False,False,False,True,DRAWDOWN_RISK(vel=-26.0),0,False,False,False,False,False,False,28.9,4,80.8
TIPSMUSIC,TIPS MUSIC,STRONG,79.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,FRESH,True,13.02,25.075,4.75,HOLD,,False,,A,33.33,3,False,560.14,543.34,588.15,Near 200DMA — ideal dip entry zone,7,2026-06-12,79.49,False,False,False,True,DRAWDOWN_RISK(vel=-8.0),0,True,True,False,False,False,False,28.9,4,80.8
POLYCAB,POLYCAB INDIA,PRIME,79.0,20.0,CAUTION,4.0,7.0,NORMAL,TOPPING,False,2,2,FRESH,True,22.03,207.5357,2.62,PARTIAL_EXIT,EXTENDED: 10.1× ATR above 200DMA,False,,A,16.87,5,True,7785.63,9085.93,9397.23,Extended — wait for ATR pullback,7,2026-06-12,25.96,False,False,False,False,,0,True,True,False,False,False,False,28.9,4,80.8
HSCL,HIMADRI SPECIAL,STRONG,79.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,FRESH,True,38.72,32.6393,5.76,PARTIAL_EXIT,EXTENDED: 8.1× ATR above 200DMA,False,,A,13.33,4,False,489.96,614.42,663.38,Extended — wait for ATR pullback,7,2026-06-12,14.93,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
ITDC,I T D C,STRONG,78.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,4.32,32.2786,6.63,HOLD,,False,,A,18.76,3,False,560.09,543.29,588.09,Near 200DMA — ideal dip entry zone,7,2026-06-12,22.42,False,False,False,True,DRAWDOWN_RISK(vel=-10.0),0,True,True,False,False,False,False,28.9,4,80.8
CHOICEIN,CHOICE INTL.,WATCHLIST_CONFIRMED,78.0,13.0,CAUTION,4.0,3.0,NORMAL,TOPPING,False,1,1,FRESH,False,-9.91,16.0071,2.84,EXIT,DETERIORATING (vel=-22.0 forensic=-3 regime=CAUTION),False,,A,8.5,1,False,750.72,656.01,765.73,Below 200DMA — enter on recovery above 200DMA,7,2026-06-12,15.84,False,True,False,True,HIGH_PE(57x vs ind 17x) | DRAWDOWN_RISK(vel=-22.0),0,False,False,False,False,False,False,28.9,4,80.8
KMEW,KNOWLEDGE MARINE,STRONG,77.0,20.0,CAUTION,4.0,5.0,NORMAL,LATE_CYCLE,False,2,3,EXPIRED,True,22.12,112.3643,7.06,PARTIAL_EXIT,EXTENDED: 3.8× ATR above 200DMA,False,,A,12.0,4,False,1564.7,1686.07,1854.62,Extended — wait for ATR pullback,7,2026-06-12,22.91,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
SANGHVIMOV,SANGHVI MOVERS,STRONG,77.0,16.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,FRESH,True,17.56,17.0571,5.34,HOLD,,False,,A,18.2,3,False,326.19,349.34,374.92,Extended — wait for ATR pullback,7,2026-06-12,13.7,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
SOLARINDS,SOLAR INDUSTRIES,STRONG,77.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,20.85,493.0714,3.44,PARTIAL_EXIT,EXTENDED: 7.3× ATR above 200DMA,False,,A,12.76,3,False,14213.27,16190.86,16930.46,Extended — wait for ATR pullback,7,2026-06-12,27.57,False,True,False,True,HIGH_PE(82x vs ind 25x) | DRAWDOWN_RISK(vel=-9.0),0,False,False,False,False,False,False,28.9,4,80.8
NATIONALUM,NATL. ALUMINIUM,STRONG,77.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,1,FRESH,False,18.75,15.95,5.08,HOLD,,False,,A,40.87,4,False,317.17,344.75,368.67,Extended — wait for ATR pullback,7,2026-06-12,29.59,False,False,False,False,,0,True,True,False,False,False,False,28.9,4,80.8
KPEL,K.P. ENERGY,STRONG,77.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,1,EXPIRED,False,-4.52,12.3679,4.38,HOLD,,False,,A,14.67,2,False,355.06,328.83,362.16,Below 200DMA — enter on recovery above 200DMA,7,2026-06-12,36.83,False,False,False,True,DRAWDOWN_RISK(vel=-8.0),0,False,False,False,False,False,False,28.9,4,80.8
GABRIEL,GABRIEL INDIA,STRONG,77.0,20.0,CAUTION,4.0,5.0,NORMAL,CORRECTION,False,1,1,FRESH,False,-2.56,41.9643,4.87,HOLD,,False,,A,12.0,4,False,1061.38,1003.17,1082.61,Below 200DMA — enter on recovery above 200DMA,7,2026-06-12,20.7,False,False,False,False,,0,True,True,False,False,False,False,28.9,4,80.8
ANTELOPUS,ANTELOPUS SELAN,STRONG,76.0,14.0,CAUTION,4.0,5.0,NORMAL,BASING,False,1,2,EXPIRED,True,55.07,42.6679,5.87,EXIT,PROFIT_ZONE: +55% above 200DMA | EXTENDED: 11.3× ATR above 200DMA,False,,A,9.0,3,False,562.28,786.61,850.62,Extended — wait for ATR pullback,7,2026-06-12,-1.26,True,False,False,False,LOW_ROE(-1.3%),0,False,False,False,False,False,False,28.9,4,80.8
CEMPRO,CEMINDIA PROJECT,STRONG,76.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,49.3,67.9941,7.23,PARTIAL_EXIT,PROFIT_ZONE: +49% above 200DMA | EXTENDED: 8.2× ATR above 200DMA,False,,A,15.67,4,False,756.14,992.91,1094.9,Extended — wait for ATR pullback,7,2026-06-12,20.33,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
ADANIPORTS,ADANI PORTS,STRONG,76.0,19.0,CAUTION,4.0,5.0,NORMAL,CORRECTION,False,2,2,FRESH,True,20.06,38.9043,2.59,PARTIAL_EXIT,EXTENDED: 9.3× ATR above 200DMA,False,,A,16.61,5,False,1499.53,1722.49,1780.85,Extended — wait for ATR pullback,7,2026-06-12,19.41,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
ECLERX,ECLERX SERVICES,STRONG,76.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,1,EXPIRED,False,-29.38,58.4,5.11,HOLD,,False,,B,53.2,2,False,1940.92,1329.58,1979.74,Below 200DMA — enter on recovery above 200DMA,7,2026-06-12,23.47,False,False,False,True,DRAWDOWN_RISK(vel=-5.0),0,False,False,False,False,False,False,28.9,4,80.8
ENGINERSIN,ENGINEERS INDIA,STRONG,76.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,1,FRESH,False,11.37,8.5114,4.46,HOLD,,False,,A,38.11,1,False,205.7,199.53,215.98,Near 200DMA — ideal dip entry zone,7,2026-06-12,21.72,False,False,False,False,,0,True,True,False,False,False,False,28.9,4,80.8
LLOYDSME,LLOYDS METALS,STRONG,75.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,FRESH,True,28.58,48.3964,3.29,PARTIAL_EXIT,EXTENDED: 10.4× ATR above 200DMA,False,,A,12.8,4,False,1371.34,1666.41,1739.0,Extended — wait for ATR pullback,7,2026-06-12,22.65,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
TORNTPHARM,TORRENT PHARMA.,STRONG,75.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,FRESH,True,15.82,122.8787,3.22,HOLD,,False,,A,22.44,5,False,3948.29,4327.24,4511.56,Extended — wait for ATR pullback,7,2026-06-12,25.18,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
CPPLUS,ADITYA INFOTECH,WATCHLIST_CONFIRMED,75.0,19.0,CAUTION,4.0,3.0,NORMAL,TOPPING,False,2,2,FRESH,True,92.94,187.6071,6.67,EXIT,PROFIT_ZONE: +93% above 200DMA | EXTENDED: 16.7× ATR above 200DMA,False,,A,11.5,4,False,1748.15,2997.59,3279.0,Extended — wait for ATR pullback,7,2026-06-12,34.53,False,True,False,False,HIGH_PE(78x vs ind 30x),0,True,True,False,False,False,False,28.9,4,80.8
TSFINV,TSF INVESTMENTS,WATCHLIST_EXTERNAL,75.0,10.0,CAUTION,4.0,1.5,NORMAL,TOPPING,False,1,1,EXPIRED,False,-15.99,11.6821,3.57,EXIT,DETERIORATING (vel=-22.0 forensic=-1 regime=CAUTION),False,,A,23.06,0,False,467.48,380.97,476.83,Below 200DMA — enter on recovery above 200DMA,7,2026-06-12,7.35,True,False,False,True,LOW_ROE(7.3%) | DRAWDOWN_RISK(vel=-22.0),0,True,True,False,False,False,False,28.9,4,80.8
IKS,INVENTURUS KNOWL,STRONG,75.0,20.0,CAUTION,4.0,5.0,NORMAL,CORRECTION,False,1,2,EXPIRED,True,6.69,48.0286,3.43,HOLD,,False,,A,12.0,4,False,1573.68,1526.47,1652.36,Near 200DMA — ideal dip entry zone,7,2026-06-12,27.16,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
CUMMINSIND,CUMMINS INDIA,STRONG,74.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,AGING,True,23.63,191.8571,4.1,PARTIAL_EXIT,EXTENDED: 6.9× ATR above 200DMA,False,,A,23.21,5,False,4539.27,5228.29,5516.07,Extended — wait for ATR pullback,7,2026-06-12,26.45,False,False,False,False,,0,True,True,False,False,False,False,28.9,4,80.8
FCL,FINEOTEX CHEM,STRONG,74.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,FRESH,True,52.12,2.6,8.09,EXIT,PROFIT_ZONE: +52% above 200DMA | EXTENDED: 7.7× ATR above 200DMA,False,,A,19.22,3,False,25.34,33.35,37.25,Extended — wait for ATR pullback,7,2026-06-12,14.8,False,False,False,False,,0,True,True,False,False,False,False,28.9,4,80.8
NYKAA,FSN E-COMMERCE,STRONG,74.0,11.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,5.47,6.3357,2.82,HOLD,,False,,A,7.5,3,False,255.68,248.01,268.46,Near 200DMA — ideal dip entry zone,7,2026-06-12,5.08,True,True,False,False,LOW_ROE(5.1%) | HIGH_PE(506x vs ind 29x),0,False,False,False,False,False,False,28.9,4,80.8
INOXINDIA,INOX INDIA,STRONG,74.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,46.21,95.3814,6.31,PARTIAL_EXIT,PROFIT_ZONE: +46% above 200DMA | EXTENDED: 8.8× ATR above 200DMA,False,,A,13.68,5,False,1241.56,1624.54,1767.61,Extended — wait for ATR pullback,7,2026-06-12,25.87,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
SUMEETINDS,SUMEET INDUSTRIE,WATCHLIST_CONFIRMED,74.0,20.0,CAUTION,4.0,3.0,NORMAL,TOPPING,False,1,1,EXPIRED,False,-17.84,1.6185,8.03,EXIT,DETERIORATING (vel=-8.0 forensic=-1 regime=CAUTION),False,,A,12.0,1,False,29.45,23.47,30.04,Below 200DMA — enter on recovery above 200DMA,7,2026-06-12,91.93,False,False,False,True,DRAWDOWN_RISK(vel=-8.0),0,False,False,False,False,False,False,28.9,4,80.8
SRM,SRM CONTRACTORS,STRONG,74.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,1,FRESH,False,-4.65,23.8929,6.02,HOLD,,False,,A,12.0,3,False,499.3,461.82,509.29,Below 200DMA — enter on recovery above 200DMA,7,2026-06-12,19.96,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
RATEGAIN,RATEGAIN TRAVEL,STRONG,74.0,17.0,CAUTION,4.0,5.0,NORMAL,CORRECTION,False,1,2,EXPIRED,True,25.49,28.25,4.32,PARTIAL_EXIT,EXTENDED: 7.1× ATR above 200DMA,False,,A,10.5,5,False,625.33,728.25,770.62,Extended — wait for ATR pullback,7,2026-06-12,12.42,False,False,False,False,,0,True,True,False,False,False,False,28.9,4,80.8
ECOSMOBLTY,ECOS (INDIA),WATCHLIST_CONFIRMED,74.0,20.0,CAUTION,4.0,3.0,NORMAL,TOPPING,False,1,1,EXPIRED,False,-34.88,9.2529,8.95,HOLD,,False,,B,51.8,2,False,190.4,120.28,194.21,Below 200DMA — enter on recovery above 200DMA,7,2026-06-12,27.1,False,False,False,True,DRAWDOWN_RISK(vel=-12.0),0,True,True,False,False,False,False,28.9,4,80.8
ABB,A B B,PRIME,74.0,20.0,CAUTION,4.0,7.0,NORMAL,TOPPING,False,1,1,EXPIRED,False,17.7,186.3214,3.31,HOLD,,False,,A,18.85,4,True,5735.87,6378.36,6657.84,Extended — wait for ATR pullback,7,2026-06-12,22.39,False,True,False,False,HIGH_PE(80x vs ind 31x),0,True,True,True,True,True,False,28.9,4,80.8
ASHAPURMIN,ASHAPURA MINECH.,STRONG,74.0,15.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,1,2,EXPIRED,True,6.15,40.1929,6.99,HOLD,,False,,A,11.48,5,False,650.47,630.96,682.99,Near 200DMA — ideal dip entry zone,7,2026-06-12,23.82,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
HIRECT,HIND RECTIFIERS,STRONG,73.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,FRESH,True,41.19,79.0964,8.37,PARTIAL_EXIT,PROFIT_ZONE: +41% above 200DMA | EXTENDED: 5.9× ATR above 200DMA,False,,A,13.32,4,False,803.37,976.11,1094.75,Extended — wait for ATR pullback,7,2026-06-12,23.21,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
MUFIN,MUFIN GREEN,WATCHLIST_EXTERNAL,73.0,0.0,CAUTION,4.0,1.5,NORMAL,TOPPING,False,2,2,FRESH,True,12.33,3.6071,3.57,EXIT,DETERIORATING (vel=-22.0 forensic=-6 regime=CAUTION),False,,,0.0,2,False,107.93,104.69,113.33,Near 200DMA — ideal dip entry zone,7,2026-06-12,7.14,True,True,False,True,LOW_ROE(7.1%) | HIGH_PE(85x vs ind 17x) | DRAWDOWN_RISK(vel=-22.0),0,False,False,False,False,False,False,28.9,4,80.8
MARKSANS,MARKSANS PHARMA,STRONG,73.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,FRESH,True,35.88,14.4357,6.91,PARTIAL_EXIT,EXTENDED: 6.2× ATR above 200DMA,False,,A,16.77,4,False,184.59,221.95,243.6,Extended — wait for ATR pullback,7,2026-06-12,15.43,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
REDTAPE,REDTAPE,STRONG,73.0,20.0,CAUTION,4.0,5.0,NORMAL,TOPPING,False,2,2,FRESH,True,2.93,7.6657,6.93,HOLD,,False,,A,14.12,4,False,129.0,125.13,135.45,Near 200DMA — ideal dip entry zone,7,2026-06-12,21.55,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
MANORAMA,MANORAMA INDUST.,WATCHLIST_CONFIRMED,73.0,19.0,CAUTION,4.0,3.0,NORMAL,CORRECTION,False,2,2,FRESH,True,13.56,57.9143,4.45,HOLD,,False,,A,11.97,3,False,1373.78,1332.57,1442.47,Near 200DMA — ideal dip entry zone,7,2026-06-12,23.88,False,False,False,False,,0,False,False,False,False,False,False,28.9,4,80.8
