NSE_SYMBOL,BSE_CODE,COMPANY,EVENT_TYPE,EVENT_SUBJECT,EVENT_DATE,SOURCE,ADDED_AT
,532714,KEC International Ltd,RESULTS,"The Audited Financial Results for the quarter and year ended March 31, 2026, along with the Auditor Reports of the Statutory Auditors are enclosed.",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,544540,Epack Prefab Technologies Ltd,RESULTS,"Financial Results/Statements for Quarter and financial year ended March 31, 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,539221,Sportking India Ltd,RESULTS,Financial Results,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,542665,Neogen Chemicals Ltd,RESULTS,Approval of Audited Financial Results for the quarter and FY ended 31-03-2026  alongwith auditors report.,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,544080,Sayaji Hotels (Indore) Ltd,RESULTS,"Quick Results- Audited Financial Results for the quarter and year ended 31st March, 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,513532,Pradeep Metals Ltd,RESULTS,"Audited Standalone & Consolidated Financial Results for the Financial Year ended March 31, 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,590078,Maithan Alloys Ltd,RESULTS,"Audited Standalone and Consolidated Financial Results for the quarter and year ended 31st March, 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,539221,Sportking India Ltd,RESULTS,Audited Financial Results for 31st March 2026,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,538685,Shemaroo Entertainment Ltd,RESULTS,"Audited Financial Results for the financial year ended March 31, 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,530343,Genus Power Infrastructures Ltd-$,RESULTS,"Audited Financial Results for the quarter and year ended March 31, 2026.",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,532822,Vodafone Idea Ltd,RESULTS,"Board of Directors at their meeting held on 16 May 2026, inter alia, approved the Audited Financial Results (Standalone and Consolidated) for the Financial Year ended 31 March 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,540652,Captain Technocast Ltd,RESULTS,"Financial results for the half year and year ended on 31st March,2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,503626,Manglam Global Corporations Ltd,RESULTS,Financial results for quarter and year ended 31st March 2026,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,543529,Delhivery Ltd,RESULTS,"Financial Results for the quarter and financial year ended March 31, 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,543578,Olatech Solutions Ltd,RESULTS,Financial Results 31.03.2026,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,500248,Krishna Filament Industries Ltd,RESULTS,"Audited Financial Results for the quarter and financial year ended March 31, 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,540821,Crystal Business System Ltd,RESULTS,"This is with reference to our earlier annoucement dated 15th May, 2026 We hereby Submitting the financial Results of Quarter Ended 31st March, 2026.",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,504036,Hind Rectifiers Ltd,RESULTS,"Audited Standalone and Consolidated Financial Results for the quarter and year ended March 31, 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,543239,G M Polyplast Ltd,RESULTS,Financial Resultsf or March 2026 are annexed for reference,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,544258,Western Carriers (India) Ltd,RESULTS,"Audited Financial Results for the Quarter and Year ended March 31, 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,526492,Rishiroop Ltd,RESULTS,"Financial Results for the Quarter/Year ended March 31, 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,532024,Aarcon Facilities Ltd,RESULTS,Audited Financial Results 31/03/2026,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,539799,Bharat Wire Ropes Ltd,RESULTS,"Audited Financial Results for the quarter and year ended 31st March, 2026",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,506222,Styrenix Performance Materials Ltd,RESULTS,"Audited standalone and consolidated financial results for the 4th quarter and financial year ended on March 31, 2026.",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,533329,Indian Terrain Fashions Ltd,RESULTS,Audited Financial Results for the quarter and financial year ended 31st March 2026,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,516092,3P Land Holdings Ltd,RESULTS,"Audited Financial Results for the year ended on 31st March, 2026.",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,524640,Archit Organosys Ltd,RESULTS,"Approval of financial results for the quarter and financial year ended on March 31, 2026.",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,590078,Maithan Alloys Ltd,CORPORATE_ACTION,"The Board of Directors has approved the payment of Interim Dividend of Rs. 11/- per share for the FY 2025-2026 and has fixed 22nd May, 2026 as the record date for the purpose.

Further ....",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,513532,Pradeep Metals Ltd,CORPORATE_ACTION,Intimation of approval of Dividend,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,544264,Diffusion Engineers Ltd,CORPORATE_ACTION,"The Board has fixed August 26, 2026 as the record date for purpose of the AGM and Final Dividend",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,544264,Diffusion Engineers Ltd,CORPORATE_ACTION,Company has intimated about book closure  date for purpose of AGM and final dividend.,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,539221,Sportking India Ltd,CORPORATE_ACTION,Board has recommended the final dividend of Rs. 1/- per Equity Shares,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,504908,Duncan Engineering Ltd-$,CORPORATE_ACTION,Board Approves Dividend,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,532539,UNO Minda Ltd-$,CORPORATE_ACTION,"Board recommends final Dividend at the board meeting held on May 16, 2026.",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,542351,Gloster Ltd,CORPORATE_ACTION,Board to consider dividend,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,502157,Mangalam Cement Ltd,CORPORATE_ACTION,"Board in its meeting held today i.e. 16th May, 2026 recommended final dividend of Rs. 1.50/- per equity shares of Rs. 10/- each and fixed record date as 14th August, 2026 for the purpose ....",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,544450,Chembond Chemicals Ltd,CORPORATE_ACTION,The Board of Directors in its meeting held on 16.05.2026 has declared final dividend of Rs. 1.25 (25%) per equity shares having face value of Rs. 5/- and fixed the record for the purpose of dividend.,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,544450,Chembond Chemicals Ltd,CORPORATE_ACTION,The Board Director in its meeting held on 16.05.2026 has declared final dividend of Rs. 1.25/-(25%) per equity shares of having face value of Rs. 5/- each.,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,526492,Rishiroop Ltd,CORPORATE_ACTION,"Board recommended dividend @ 15% (Rs. 1.50 per equity share of Rs.10/- each) for the FY ended March 31, 2026 for the approval of shareholders at the ensuing AGM.",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,543321,Tatva Chintan Pharma Chem Ltd,CORPORATE_ACTION,Outcome of Board Meeting - Board approves Dividend,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,524634,Alufluoride Ltd,CORPORATE_ACTION,Notice is hereby given that the Board at its meeting scheduled to be held on 22nd May 2026 shall inter alia recommend final dividend for the FY 2025-26 as may be approved by the Board of ....,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,590073,Wheels India Ltd,CORPORATE_ACTION,"Wheels India Ltd has informed BSE that the Company has fixed June 24, 2026 as the Record Date for the purpose of payment of Final Dividend.<BR><BR>The dividend, if approved by the members, ....",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,532762,Action Construction Equipment Ltd,CORPORATE_ACTION,Board to consider and recommend dividend on equity shares of Company for FY 2025-26 in board meeting to be held on  dated 20th May 2026,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,531910,JOJO Ltd,CORPORATE_ACTION,the board approved dividend,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,532700,Entertainment Network (India) Ltd,CORPORATE_ACTION,Corporate Action - Board to consider dividend,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,511676,GIC Housing Finance Ltd,CORPORATE_ACTION,Corporate Action - Record date for payment of Final Dividend,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,509782,Oseaspre Consultants Ltd,CORPORATE_ACTION,"The Board of Director of the Company at their meeting held today i.e. 15th May, 2026 have approved the record date for the Annual General Meeting and final dividend as Friday 12th June, 2026.",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,509917,Technojet Consultants Ltd,CORPORATE_ACTION,"Dear Sir/Madam,
The Board of Directors of the Company at their meeting held today i.e. 15th May, 2026 have approved the record date for the Annual General Meeting and final dividend as ....",2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,509782,Oseaspre Consultants Ltd,CORPORATE_ACTION,Book closure for the purpose of Annual General Meeting and determining the entitlement of the Members for the final dividend of the Company.,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
,509917,Technojet Consultants Ltd,CORPORATE_ACTION,Book Closure for the purpose of Annual General Meeting and determining the entitlement of the members for the Final Dividend of the Company.,2026-05-17,BSE_PIPELINE,2026-05-17T09:01:33.680610+05:30
