INDUSTRY_GROUP,CYCLE_PHASE,CYCLE_ICON,SECTOR_RS,SECTOR_RS_STATUS,RETURN_6M_PCT,NIFTY_6M_PCT,RETURN_1Y_MED,RETURN_3M_MED,RETURN_1M_MED,RETURN_1W_MED,MOMENTUM_MONTHLY_3M,MOMENTUM_MONTHLY_1M,MOMENTUM_ACCELERATION,STOCK_COUNT,CYCLE_NOTE,AS_OF_DATE
Consumable Fuels,MID_CYCLE,🚀,8.19,OUTPERFORMING,1.57,-6.62,23.59,-6.18,2.41,2.64,-2.06,2.41,4.47,5,Outperforming vs NIFTY + accelerating (+4.5%/mo delta). Strongest setup — momentum building. 3M: -6.2%,2026-03-17
Healthcare Equipment & Supplies,LATE_CYCLE,⚠️,8.19,OUTPERFORMING,1.57,-6.62,7.04,-18.28,-7.85,-1.76,-6.09,-7.85,-1.76,22,Outperforming but decelerating (-1.8%/mo delta). Watch for rotation signals. 3M: -18.3%,2026-03-17
Healthcare Services,LATE_CYCLE,⚠️,8.19,OUTPERFORMING,1.57,-6.62,-1.87,-14.15,-7.9,-1.29,-4.72,-7.9,-3.18,83,Outperforming but decelerating (-3.2%/mo delta). Watch for rotation signals. 3M: -14.2%,2026-03-17
Finance,LATE_CYCLE,⚠️,5.76,OUTPERFORMING,-0.86,-6.62,-9.11,-13.11,-7.54,-0.81,-4.37,-7.54,-3.17,516,Outperforming but decelerating (-3.2%/mo delta). Watch for rotation signals. 3M: -13.1%,2026-03-17
IT - Hardware,BASING,⏸️,0.0,UNDERPERFORMING,0.0,0.0,-10.89,-15.66,-6.27,-0.18,-5.22,-6.27,-1.05,28,Underperforming but stabilising (-1.1%/mo delta). No clear bottom yet. 3M: -15.7%,2026-03-17
Metals & Minerals Trading,BASING,⏸️,0.0,UNDERPERFORMING,0.0,0.0,-11.64,-12.93,-2.57,1.25,-4.31,-2.57,1.74,14,Underperforming but stabilising (+1.7%/mo delta). No clear bottom yet. 3M: -12.9%,2026-03-17
Oil,BASING,⏸️,0.0,UNDERPERFORMING,0.0,0.0,-0.72,-6.15,-1.23,-2.47,-2.05,-1.23,0.82,19,Underperforming but stabilising (+0.8%/mo delta). No clear bottom yet. 3M: -6.2%,2026-03-17
Other Consumer Services,BASING,⏸️,-6.77,UNDERPERFORMING,-13.39,-6.62,-19.62,-18.59,-5.13,-0.37,-6.2,-5.13,1.07,49,Underperforming but stabilising (+1.1%/mo delta). No clear bottom yet. 3M: -18.6%,2026-03-17
Fertilizers & Agrochemicals,TOPPING,🔴,11.76,OUTPERFORMING,5.14,-6.62,-4.89,-14.5,-9.46,-0.74,-4.83,-9.46,-4.63,60,Outperforming but hard reversal in recent month (-4.6%/mo delta). Possible distribution / exit zone. 3M: -14.5%,2026-03-17
Banks,TOPPING,🔴,5.76,OUTPERFORMING,-0.86,-6.62,27.85,-4.55,-9.61,-2.89,-1.52,-9.61,-8.09,41,Outperforming but hard reversal in recent month (-8.1%/mo delta). Possible distribution / exit zone. 3M: -4.5%,2026-03-17
