ISIN,NSE_SYMBOL,NAME,TIER,SIGNALS_FIRED,COMPOSITE_BALANCED,SECTOR_PHASE,MARKET_STATE
INE144J01027,20MICRONS,20 MICRONS,WATCHLIST_CONFIRMED,1.0,43,CORRECTION,BEAR
INE466L01038,360ONE,360 ONE,WATCHLIST_EXTERNAL,3.0,36,CORRECTION,BEAR
INE470A01017,3MINDIA,3M INDIA,WATCHLIST_EXTERNAL,2.0,29,CORRECTION,BEAR
INE618L01018,5PAISA,5PAISA CAPITAL,WATCHLIST_EXTERNAL,3.0,37,CORRECTION,BEAR
INE0D0U01013,AAATECH,AAA TECHNOLOGIES,WATCHLIST_CONFIRMED,3.0,42,CORRECTION,BEAR
INE883F01010,AADHARHFC,AADHAR HSG. FIN.,WATCHLIST_CONFIRMED,3.0,42,LATE_CYCLE,BEAR
INE1GYP01013,AAKAAR,AAKAAR MEDICAL,WATCHLIST_EXTERNAL,1.0,28,CORRECTION,BEAR
INE721Z01010,AARON,AARON INDUSTRIES,WATCHLIST_EXTERNAL,2.0,41,CORRECTION,BEAR
INE0LRU01027,AARTIPHARM,AARTI PHARMA,WATCHLIST_EXTERNAL,2.0,40,CORRECTION,BEAR
INE216P01012,AAVAS,AAVAS FINANCIERS,WATCHLIST_CONFIRMED,2.0,44,LATE_CYCLE,BEAR
INE117A01022,ABB,A B B,WATCHLIST_CONFIRMED,5.0,54,CORRECTION,BEAR
INE358A01014,ABBOTINDIA,ABBOTT INDIA,WATCHLIST_EXTERNAL,3.0,29,CORRECTION,BEAR
INE674K01013,ABCAPITAL,ADITYA BIRLA CAP,WATCHLIST_EXTERNAL,2.0,40,LATE_CYCLE,BEAR
INE08PH01015,ABCOTS,AB COTSPIN,WATCHLIST_EXTERNAL,1.0,32,CORRECTION,BEAR
INE552Z01027,ABDL,ALLIED BLENDERS,WATCHLIST_EXTERNAL,1.0,28,CORRECTION,BEAR
INE00YB01025,ABINFRA,A B INFRABUILD,WATCHLIST_EXTERNAL,2.0,32,TOPPING,BEAR
INE14LE01019,ABLBL,A B LIFESTYLE,WATCHLIST_EXTERNAL,3.0,32,CORRECTION,BEAR
INE404A01024,ABSLAMC,ADITYA AMC,WATCHLIST_EXTERNAL,5.0,35,CORRECTION,BEAR
INE0QRV01016,ABSMARINE,ABS MARINE,WATCHLIST_CONFIRMED,2.0,45,CORRECTION,BEAR
INE012A01025,ACC,ACC,WATCHLIST_EXTERNAL,2.0,34,CORRECTION,BEAR
INE793A01012,ACCELYA,ACCELYA SOLUTION,WATCHLIST_CONFIRMED,1.0,58,CORRECTION,BEAR
INE0Q5D01013,ACCENTMIC,ACCENT MICROCELL,WATCHLIST_CONFIRMED,1.0,43,CORRECTION,BEAR
INE731H01025,ACE,ACTION CONST.EQ.,WATCHLIST_CONFIRMED,3.0,44,CORRECTION,BEAR
INE00FF01025,ACUTAAS,ACUTAAS CHEMICAL,WATCHLIST_EXTERNAL,4.0,40,CORRECTION,BEAR
INE423A01024,ADANIENT,ADANI ENTERP.,WATCHLIST_EXTERNAL,4.0,36,BASING,BEAR
INE742F01042,ADANIPORTS,ADANI PORTS,WATCHLIST_CONFIRMED,2.0,45,CORRECTION,BEAR
INE814H01029,ADANIPOWER,ADANI POWER,WATCHLIST_EXTERNAL,3.0,39,CORRECTION,BEAR
INE0RDH01021,ADDICTIVE,ADDICTIVE LEARN,WATCHLIST_EXTERNAL,1.0,29,BASING,BEAR
INE982B01027,ADFFOODS,ADF FOODS,WATCHLIST_EXTERNAL,1.0,32,CORRECTION,BEAR
INE045A01017,ADOR,ADOR WELDING,WATCHLIST_EXTERNAL,5.0,38,CORRECTION,BEAR
INE0ALI01010,ADVAIT,ADVAIT ENERGY,WATCHLIST_EXTERNAL,1.0,38,CORRECTION,BEAR
INE1B0W01010,ADVANCE,ADVANCE AGROLIFE,WATCHLIST_EXTERNAL,2.0,40,TOPPING,BEAR
INE199C01026,ADVANIHOTR,ADVANI HOTELS.,WATCHLIST_CONFIRMED,3.0,49,CORRECTION,BEAR
INE28GN01010,ADVENTHTL,ADVENT HOTELS,WATCHLIST_EXTERNAL,2.0,29,CORRECTION,BEAR
